subject_id,cluster,tau,xi,source_1,source_2,n_visits
SIM0001,1,0.3656604957053176,-0.2599960265601239,-1.5594352836087861,-1.9510351886538364,6
SIM0002,1,0.7575458710062485,-0.3642889549639166,-2.9703726542927953,-0.6388778482433419,5
SIM0003,1,-1.5872395348252828,-0.24931170690037044,-3.4054790553600607,-0.3781625540393897,6
SIM0004,1,0.18845828093441355,-0.039658709259672076,-4.174682944704357,-0.4863079090733309,4
SIM0005,1,1.8429071903951904,0.04580860930547653,-3.8681591992456648,1.6509279322312496,6
SIM0006,1,-0.7849757280813559,-0.5368222574346637,-3.562414411859563,-0.5294394273660737,4
SIM0007,1,0.3797931140079696,-0.024321649603372367,-0.9266450975247575,0.3858465525565008,3
SIM0008,2,-2.108066138974299,0.08199887092852741,0.9661385950838624,0.8638280136981883,3
SIM0009,2,-1.8864483067838886,-0.01673829322455021,1.9817201576337253,1.5112284332767216,6
SIM0010,2,1.925105233820569,-0.11442485773920641,3.809550684860527,-1.6022595410589253,2
SIM0011,1,0.2750536489380821,0.13251617640036667,-2.6796114138314584,0.19677609665695725,3
SIM0012,1,-1.7766438150780195,-0.2220334634334131,-1.6964149806213984,1.7207698311659838,3
SIM0013,2,2.3412150721515594,0.5192451322634383,2.6601905933170755,1.0762401574663856,2
SIM0014,1,0.2223907792984584,0.15479277924384832,-1.4361484672656415,-1.141938226142404,5
SIM0015,1,0.8019912217295964,-0.17209307055768985,-0.8710630523760086,-0.9701495196514126,6
SIM0016,1,-0.7834993735976544,0.13710698020744988,-3.9481272594150476,-0.0679802559844049,3
SIM0017,2,-1.5372830482149984,-0.10590165161520956,3.312601287753645,0.24165971982083806,4
SIM0018,2,3.0591935431284036,-0.10131731636233296,2.1895160238040563,-0.2862229498406692,4
SIM0019,1,-1.9387900071848136,0.12051670888138132,-5.0647443418205675,0.7848440366081351,4
SIM0020,2,1.3355590699923163,-0.06126516279767559,2.443045458786471,1.0491736214413494,2
SIM0021,2,1.353622628819163,-0.5701844613429807,1.5771135581047324,1.461178866720329,4
SIM0022,1,0.7675516913974821,0.11063640605101324,-1.8646288571387226,0.7400142363043355,3
SIM0023,1,-0.24349678175465728,-0.2706067993470717,-3.2460982566525134,-1.2503155389231464,3
SIM0024,1,-0.4823910961550457,0.06102609724458803,-3.6394290010915746,-0.4812411238654122,2
SIM0025,1,-1.0732152552930345,-0.08156550125576,-0.6626133245124797,-0.3359392250401477,3
SIM0026,2,-0.8322073974867369,0.2077579644169936,2.093056251227441,-0.5848741349330007,2
SIM0027,1,0.34670000060244827,0.3112368446616114,-5.0016998441596545,-1.7039928626103755,4
SIM0028,1,-1.0404063075881116,0.02980646528184802,-2.6661578419497323,1.8821748802040494,5
SIM0029,1,-0.306998485608988,-0.18554802349935917,-2.4653881258147443,-0.28279574914757005,4
SIM0030,1,-0.8751443236483938,-0.10361826645896463,-2.4970067088000443,0.34020997686833787,4
SIM0031,1,0.9668143670910011,0.1693503421730756,-1.526105871782599,0.6985663453715051,3
SIM0032,1,0.5460284644170239,0.36128148923163345,-2.6968856987039094,-1.1146169630679268,2
SIM0033,2,0.7838938599374724,-0.06917502252142835,2.5085056267231534,0.7949322529156275,4
SIM0034,2,-0.22101089581826597,-0.06753878233427404,2.4015539976921203,-0.24389611017733773,6
SIM0035,1,0.17835251436339702,0.09155239944598435,-3.8204889841570373,0.8546857301355617,4
SIM0036,1,-3.182050001903042,-0.34450231921196656,-4.749783777951608,-1.1953589742981028,2
SIM0037,2,0.10380665030575414,0.0817524671973287,2.526585341326099,0.5705370361384854,4
SIM0038,2,1.8443587847011735,0.3623362003090759,2.873052318434178,-0.6236006892582127,3
SIM0039,2,-1.158421433770516,0.013370406705475055,-0.046168134822863305,0.614270438357064,3
SIM0040,2,-1.90667707701447,-0.030952323582414894,0.6220112340340922,-1.074766013817714,2
SIM0041,1,1.0991163627355183,-0.027286287890333626,-1.9377271280855068,-1.29188226823169,2
SIM0042,2,1.4947619522062476,0.2398976314375184,3.329121071066053,0.4048550876357089,6
SIM0043,2,-0.2512905924475297,0.0976326490798793,2.6813142178614195,-0.9114436231372903,3
SIM0044,2,-0.3906540138234382,0.1274745621191339,2.104755854996528,1.4671812507090423,5
SIM0045,2,-1.3247863624459937,0.08069936602331203,3.2119770229910514,-1.18147906792882,5
SIM0046,1,-0.3130797876010199,0.20998065128319948,-2.6049581560001727,1.3638503249326897,4
SIM0047,2,1.2345371036946111,-0.5535468427607507,3.689622005287643,-0.1530258762062131,2
SIM0048,1,1.8933218459182632,-0.2668984422612215,-1.3673101794804112,1.2645398093380364,5
SIM0049,2,-0.5530335813178937,0.16209850280967816,2.553457912617474,-0.11916883732792043,3
SIM0050,2,-1.9176628503320563,0.033780862967020514,2.2725805873561162,-1.6150508905847878,3
SIM0051,1,-2.0852575141645584,0.050908294677450304,-2.9934013403826785,0.14141947334054417,6
SIM0052,2,-0.7427358631096358,-0.1640927233870272,3.599191555547813,0.6287962936103031,4
SIM0053,2,1.3310037737905578,-0.39800325056036384,3.5155152164829295,-1.6583355655822452,2
SIM0054,1,-0.0006757165475505698,0.009923381649390457,-4.452815530048248,-1.9738338698589637,6
SIM0055,1,0.7867416734056591,-0.27115265560905955,-1.475901160158975,0.2898854759184008,2
SIM0056,1,1.7065276199082677,-0.114202495184666,-4.50789305080467,0.2667361679766415,2
SIM0057,1,0.7235243325062667,-0.03250651537462246,-3.660911956386739,0.03237010072703053,6
SIM0058,2,-1.2294346954956077,0.22701571087949635,2.2136338641348243,-0.5860516399755586,6
SIM0059,1,1.4265409372246487,0.1564188928990385,-0.7228171597422757,0.6587973683661927,4
SIM0060,1,-1.6549791016183055,-0.24858377712377985,-2.0020770657306213,0.10225665964741577,4
SIM0061,2,-1.0981495913754014,0.10181597343386713,1.3463250836002394,0.15844805049973495,2
SIM0062,1,0.30799047685471403,-0.4286214738740304,-1.7281257076301717,-0.279676831132893,5
SIM0063,1,-0.8331165146976826,-0.23566997863283512,-2.864377292893242,0.12736247565648562,6
SIM0064,1,-0.21636842741944087,0.0035180207183762016,-3.3133904123466764,-0.53953518192114,3
SIM0065,2,0.2811580324522772,0.03773038170162399,4.685863766417626,0.2772895312108468,3
